experiment,epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
Batch Normalization,2,1.5255937576293945,1.6936466217041015,0.2857142857142857,0.2
Batch Normalization,3,1.4952183314732144,1.7612657070159912,0.44285714285714284,0.2
Batch Normalization,4,1.4621945074626377,1.7800622940063477,0.32857142857142857,0.25
Batch Normalization,5,1.4505587611879622,1.6880038261413575,0.37142857142857144,0.2
Batch Normalization,6,1.400878712109157,1.695469331741333,0.5,0.2
Batch Normalization,7,1.36711939062391,1.6862300634384155,0.5,0.25
Batch Normalization,8,1.3392443520682198,1.6722622871398927,0.5285714285714286,0.25
Batch Normalization,9,1.316571181161063,1.7797176837921143,0.5285714285714286,0.1
Batch Normalization,10,1.295549920627049,1.7108351230621337,0.5714285714285714,0.1
Batch Normalization,11,1.300345253944397,1.702039623260498,0.5571428571428572,0.2
Batch Normalization,12,1.2387666259493146,1.9230242490768432,0.6285714285714286,0.1
Batch Normalization,13,1.215979906490871,1.6761219501495361,0.6,0.3
Batch Normalization,14,1.208837080001831,1.76473708152771,0.5857142857142857,0.3
Batch Normalization,15,1.138311869757516,1.850600004196167,0.6857142857142857,0.25
Batch Normalization,16,1.1100327968597412,1.735889458656311,0.7428571428571429,0.2
Batch Normalization,17,1.123566664968218,1.7650098085403443,0.6571428571428571,0.3
Batch Normalization,18,1.0216408797672816,1.8227327346801758,0.7285714285714285,0.1
Batch Normalization,19,1.0087752716881888,1.9348305463790894,0.7571428571428571,0.25
Batch Normalization,20,1.0027619838714599,1.9354439735412599,0.6857142857142857,0.15
Batch Normalization,21,0.9714401074818202,1.7720532417297363,0.7714285714285715,0.35
Batch Normalization,22,0.9287449410983495,1.9289910554885865,0.7571428571428571,0.15
Batch Normalization,23,0.9359551174300057,1.7248923778533936,0.7857142857142857,0.25
Batch Normalization,24,0.9132525648389543,2.2078444004058837,0.7857142857142857,0.1
Batch Normalization,25,0.90549909557615,1.965301012992859,0.7857142857142857,0.25
Batch Normalization,26,0.853762240069253,1.8860536813735962,0.8571428571428571,0.1
Batch Normalization,27,0.8483400327818734,1.7867664575576783,0.7428571428571429,0.1
Batch Normalization,28,0.8122344868523734,1.7536703824996949,0.8285714285714286,0.25
Batch Normalization,29,0.7316885709762573,1.8693724870681763,0.9142857142857143,0.15
Batch Normalization,30,0.8108781576156616,1.927055287361145,0.8714285714285714,0.2
More Filters,1,1.6290341683796474,1.6120441198348998,0.2,0.2
More Filters,2,1.611571134839739,1.6098774671554565,0.2,0.2
More Filters,3,1.610315990447998,1.6098972320556642,0.2,0.2
More Filters,4,1.610135327066694,1.6099177360534669,0.2,0.2
More Filters,5,1.6099462951932635,1.6095595836639405,0.2,0.2
More Filters,6,1.6091985021318709,1.6097898006439209,0.2,0.2
More Filters,7,1.6095665795462473,1.609704279899597,0.2,0.2
More Filters,8,1.6082323993955339,1.6087572574615479,0.2,0.2
More Filters,9,1.6093742370605468,1.6078804969787597,0.2,0.2
More Filters,10,1.6064897400992257,1.6064264535903932,0.24285714285714285,0.25
More Filters,11,1.608495238849095,1.607016682624817,0.2571428571428571,0.2
More Filters,12,1.6069403648376466,1.6057250022888183,0.22857142857142856,0.2
More Filters,13,1.6027339662824358,1.6092869520187378,0.2,0.15
More Filters,14,1.6046142441885811,1.6051376104354858,0.2857142857142857,0.2
More Filters,15,1.6011455365589686,1.613308048248291,0.22857142857142856,0.1
More Filters,16,1.5939140864780972,1.6111845016479491,0.2714285714285714,0.25
More Filters,17,1.582397368976048,1.6106167316436768,0.3,0.15
More Filters,18,1.5850023814610072,1.6230528593063354,0.2,0.1
More Filters,19,1.593784087044852,1.6252912044525147,0.22857142857142856,0.1
More Filters,20,1.5656435932431902,1.6573747634887694,0.34285714285714286,0.2
More Filters,21,1.5515484298978532,1.6254316091537475,0.2857142857142857,0.2
More Filters,22,1.5360900640487671,1.6733565092086793,0.2714285714285714,0.15
More Filters,23,1.537178042956761,1.6852912902832031,0.2714285714285714,0.1
More Filters,24,1.5386857543672834,1.7122039079666138,0.3142857142857143,0.1
More Filters,25,1.5027456556047711,1.7078461408615113,0.32857142857142857,0.1
More Filters,26,1.4920231989451818,1.7235709428787231,0.3142857142857143,0.1
More Filters,27,1.497926276070731,1.803454089164734,0.32857142857142857,0.05
More Filters,28,1.4958017757960729,1.7517072200775146,0.34285714285714286,0.15
More Filters,29,1.5092783621379307,1.7594418048858642,0.34285714285714286,0.25
More Filters,30,1.5269811596189227,1.766790223121643,0.22857142857142856,0.15
Kernel Size 5,1,1.637211149079459,1.6088528156280517,0.21428571428571427,0.2
Kernel Size 5,2,1.611524077824184,1.6096856594085693,0.18571428571428572,0.2
Kernel Size 5,3,1.6098029375076295,1.609714961051941,0.2,0.2
Kernel Size 5,4,1.6099251236234393,1.6097302913665772,0.2,0.2
Kernel Size 5,5,1.609778949192592,1.6097366333007812,0.2,0.2
Kernel Size 5,6,1.6097535235541207,1.6097421407699586,0.2,0.2
Kernel Size 5,7,1.6096897670200894,1.609773826599121,0.2,0.2
Kernel Size 5,8,1.6095847163881574,1.609761619567871,0.2,0.2
Kernel Size 5,9,1.6094727277755738,1.60969877243042,0.2,0.2
Kernel Size 5,10,1.6093218292508806,1.6098525762557983,0.2,0.2
Kernel Size 5,11,1.6091450963701521,1.6096654891967774,0.2,0.2
Kernel Size 5,12,1.6089106185095652,1.6098854303359986,0.2,0.2
Kernel Size 5,13,1.6084108216421944,1.609924054145813,0.18571428571428572,0.25
Kernel Size 5,14,1.6088044677461897,1.609958028793335,0.2571428571428571,0.25
Kernel Size 5,15,1.606672603743417,1.6113456726074218,0.2571428571428571,0.2
Kernel Size 5,16,1.6064308677400863,1.6123013973236084,0.22857142857142856,0.25
Kernel Size 5,17,1.6052889789853777,1.6139102935791017,0.2571428571428571,0.25
Kernel Size 5,18,1.605672424180167,1.6143003225326538,0.22857142857142856,0.2
Kernel Size 5,19,1.6015909331185476,1.6180534839630127,0.32857142857142857,0.2
Kernel Size 5,20,1.5990723712103707,1.621823501586914,0.2857142857142857,0.25
Kernel Size 5,21,1.5964645147323608,1.6249744415283203,0.24285714285714285,0.2
Kernel Size 5,22,1.5902419362749372,1.6279369592666626,0.32857142857142857,0.3
Kernel Size 5,23,1.5798453705651418,1.6378244161605835,0.35714285714285715,0.25
Kernel Size 5,24,1.5769922154290335,1.6508602142333983,0.24285714285714285,0.2
Kernel Size 5,25,1.5631728546960013,1.648833656311035,0.2714285714285714,0.15
Kernel Size 5,26,1.5543804270880563,1.6784580945968628,0.3,0.25
Kernel Size 5,27,1.5382580757141113,1.687926435470581,0.3142857142857143,0.2
Kernel Size 5,28,1.513918273789542,1.7127790212631226,0.34285714285714286,0.25
Kernel Size 5,29,1.4863297734941756,1.7758202791213988,0.35714285714285715,0.2
Kernel Size 5,30,1.4991870607648576,1.7525752305984497,0.35714285714285715,0.15
Data Augmentation,1,1.6154569523675102,1.6109275341033935,0.2,0.2
Data Augmentation,2,1.6109567267554148,1.6100648880004882,0.2,0.2
Data Augmentation,3,1.6109172412327357,1.6100802183151246,0.2,0.2
Data Augmentation,4,1.610429106439863,1.6100929975509644,0.2,0.2
Data Augmentation,5,1.6113895109721592,1.6095460414886475,0.2,0.2
Data Augmentation,6,1.6107752220971243,1.6099316358566285,0.2,0.2
Data Augmentation,7,1.6099254301616124,1.609814739227295,0.2,0.2
Data Augmentation,8,1.610349324771336,1.6090524673461915,0.2,0.2
Data Augmentation,9,1.6084889377866471,1.6089311838150024,0.2,0.2
Data Augmentation,10,1.6086959259850637,1.6089627742767334,0.2,0.2
Data Augmentation,11,1.6081204039709909,1.6074814796447754,0.21428571428571427,0.2
Data Augmentation,12,1.606463132585798,1.6045052051544189,0.18571428571428572,0.2
Data Augmentation,13,1.6092804534094673,1.604797077178955,0.2,0.2
Data Augmentation,14,1.605348491668701,1.6051880598068238,0.22857142857142856,0.3
Data Augmentation,15,1.6066417830330986,1.6002903938293458,0.18571428571428572,0.2
Data Augmentation,16,1.6142770665032522,1.6137367248535157,0.22857142857142856,0.2
Data Augmentation,17,1.6045118570327759,1.6068668365478516,0.22857142857142856,0.25
Data Augmentation,18,1.6013928038733347,1.6005706787109375,0.2714285714285714,0.2
Data Augmentation,19,1.5984141656330653,1.5998874664306642,0.2571428571428571,0.25
Data Augmentation,20,1.5928207499640328,1.600200605392456,0.2714285714285714,0.3
Data Augmentation,21,1.5932075534548078,1.603248691558838,0.3,0.25
Data Augmentation,22,1.589657279423305,1.5952039241790772,0.24285714285714285,0.1
Data Augmentation,23,1.5891841752188547,1.5910062313079834,0.3,0.35
Data Augmentation,24,1.576818493434361,1.6073153495788575,0.3142857142857143,0.25
Data Augmentation,25,1.5818833078656878,1.6014719486236573,0.2857142857142857,0.15
Data Augmentation,26,1.5986179488045829,1.5848379135131836,0.2714285714285714,0.35
Data Augmentation,27,1.583643412590027,1.609895610809326,0.2714285714285714,0.15
Data Augmentation,28,1.564002994128636,1.6002722024917602,0.34285714285714286,0.15
Data Augmentation,29,1.564541506767273,1.6006831169128417,0.2571428571428571,0.2
Data Augmentation,30,1.5556265456335885,1.6022111892700195,0.2571428571428571,0.25
